op	desc	N	V	B	D	I	Z	C	type	mode	hex	opmode	mode_template	dec
shy¹	{adr}:=Y&H								illegal	abx	$9C	absolute x	$0000,X	156
sta	{adr}:=A								move	abx	$9D	absolute x	$0000,X	157
shx¹	{adr}:=X&H								illegal	aby	$9E	absolute y	$0000,Y	158
ahx¹	{adr}:=A&X&H								illegal	aby	$9F	absolute y	$0000,Y	159
ldy	Y:={adr}	*					*		move	imm	$A0	immediate	#$00	160
lda	A:={adr}	*					*		move	izx	$A1	indirect x	($00,X)	161
ldx	X:={adr}	*					*		move	imm	$A2	immediate	#$00	162
lax	A,X:={adr}	*					*		illegal	izx	$A3	indirect x	($00,X)	163
ldy	Y:={adr}	*					*		move	zp	$A4	zero page	$00	164
lda	A:={adr}	*					*		move	zp	$A5	zero page	$00	165
ldx	X:={adr}	*					*		move	zp	$A6	zero page	$00	166
lax	A,X:={adr}	*					*		illegal	zp	$A7	zero page	$00	167
tay	Y:=A	*					*		move	imp	$A8	implied	NA	168
lda	A:={adr}	*					*		move	imm	$A9	immediate	#$00	169
tax	X:=A	*					*		move	imp	$AA	implied	NA	170
lax²	A,X:=#{imm}	*					*		illegal	imm	$AB	immediate	#$00	171
ldy	Y:={adr}	*					*		move	abs	$AC	absolute	$0000	172
lda	A:={adr}	*					*		move	abs	$AD	absolute	$0000	173
ldx	X:={adr}	*					*		move	abs	$AE	absolute	$0000	174
lax	A,X:={adr}	*					*		illegal	abs	$AF	absolute	$0000	175
bcs	branch on C=1								jump	rel	$B0	relative	$000o0	176
lda	A:={adr}	*					*		move	izy	$B1	indirect y	($00),Y	177
lax	A,X:={adr}	*					*		illegal	izy	$B3	indirect y	($00),Y	179
ldy	Y:={adr}	*					*		move	zpx	$B4	zero page x	$00,X	180
lda	A:={adr}	*					*		move	zpx	$B5	zero page x	$00,X	181
ldx	X:={adr}	*					*		move	zpy	$B6	zero page y	$00,Y	182
lax	A,X:={adr}	*					*		illegal	zpy	$B7	zero page y	$00,Y	183
clv	V:=0		0						jump	imp	$B8	implied	NA	184
lda	A:={adr}	*					*		move	aby	$B9	absolute y	$0000,Y	185
tsx	X:=S	*					*		move	imp	$BA	implied	NA	186
las	A,X,S:={adr}&S	*					*		illegal	aby	$BB	absolute y	$0000,Y	187
ldy	Y:={adr}	*					*		move	abx	$BC	absolute x	$0000,X	188
lda	A:={adr}	*					*		move	abx	$BD	absolute x	$0000,X	189
ldx	X:={adr}	*					*		move	aby	$BE	absolute y	$0000,Y	190
lax	A,X:={adr}	*					*		illegal	aby	$BF	absolute y	$0000,Y	191
cpy	Y-{adr}	*					*	*	logical	imm	$C0	immediate	#$00	192
cmp	A-{adr}	*					*	*	logical	izx	$C1	indirect x	($00,X)	193
dcp	{adr}:={adr}-1 A-{adr}	*					*	*	illegal	izx	$C3	indirect x	($00,X)	195
cpy	Y-{adr}	*					*	*	logical	zp	$C4	zero page	$00	196
cmp	A-{adr}	*					*	*	logical	zp	$C5	zero page	$00	197
dec	{adr}:={adr}-1	*					*		logical	zp	$C6	zero page	$00	198
dcp	{adr}:={adr}-1 A-{adr}	*					*	*	illegal	zp	$C7	zero page	$00	199
iny	Y:=Y+1	*					*		logical	imp	$C8	implied	NA	200
cmp	A-{adr}	*					*	*	logical	imm	$C9	immediate	#$00	201
dex	X:=X-1	*					*		logical	imp	$CA	implied	NA	202
axs	X:=A&X-#{imm}	*					*	*	illegal	imm	$CB	immediate	#$00	203
cpy	Y-{adr}	*					*	*	logical	abs	$CC	absolute	$0000	204
cmp	A-{adr}	*					*	*	logical	abs	$CD	absolute	$0000	205
dec	{adr}:={adr}-1	*					*		logical	abs	$CE	absolute	$0000	206
dcp	{adr}:={adr}-1 A-{adr}	*					*	*	illegal	abs	$CF	absolute	$0000	207
bne	branch on Z=0								jump	rel	$D0	relative	$000o0	208
cmp	A-{adr}	*					*	*	logical	izy	$D1	indirect y	($00),Y	209
dcp	{adr}:={adr}-1 A-{adr}	*					*	*	illegal	izy	$D3	indirect y	($00),Y	211
cmp	A-{adr}	*					*	*	logical	zpx	$D5	zero page x	$00,X	213
dec	{adr}:={adr}-1	*					*		logical	zpx	$D6	zero page x	$00,X	214
dcp	{adr}:={adr}-1 A-{adr}	*					*	*	illegal	zpx	$D7	zero page x	$00,X	215
cld	D:=0				0				jump	imp	$D8	implied	NA	216
cmp	A-{adr}	*					*	*	logical	aby	$D9	absolute y	$0000,Y	217
dcp	{adr}:={adr}-1 A-{adr}	*					*	*	illegal	aby	$DB	absolute y	$0000,Y	219
cmp	A-{adr}	*					*	*	logical	abx	$DD	absolute x	$0000,X	221
dec	{adr}:={adr}-1	*					*		logical	abx	$DE	absolute x	$0000,X	222
dcp	{adr}:={adr}-1 A-{adr}	*					*	*	illegal	abx	$DF	absolute x	$0000,X	223
cpx	X-{adr}	*					*	*	logical	imm	$E0	immediate	#$00	224
sbc	A:=A-{adr}	*	*				*	*	logical	izx	$E1	indirect x	($00,X)	225
isc	{adr}:={adr}+1 A:=A-{adr}	*	*				*	*	illegal	izx	$E3	indirect x	($00,X)	227
cpx	X-{adr}	*					*	*	logical	zp	$E4	zero page	$00	228
sbc	A:=A-{adr}	*	*				*	*	logical	zp	$E5	zero page	$00	229
inc	{adr}:={adr}+1	*					*		logical	zp	$E6	zero page	$00	230
isc	{adr}:={adr}+1 A:=A-{adr}	*	*				*	*	illegal	zp	$E7	zero page	$00	231
inx	X:=X+1	*					*		logical	imp	$E8	implied	NA	232
sbc	A:=A-{adr}	*	*				*	*	logical	imm	$E9	immediate	#$00	233
nop									jump	imp	$EA	implied	NA	234
sbc	A:=A-#{imm}	*	*				*	*	illegal	imm	$EB	immediate	#$00	235
